alpha_value 	 Set_number 	 Precision 	 Recall 	 FScore 	 Error 	 sky_Error 	 cloud_Error 
0.040000 	 2 	 0.388253 	 0.996945 	 0.558862 	 45.270707 	 45.182821 	 0.087887 
0.040000 	 3 	 0.885102 	 0.827725 	 0.855452 	 24.924853 	 9.574319 	 15.350534 
0.040000 	 4 	 0.673684 	 0.999702 	 0.804935 	 25.984424 	 25.968461 	 0.015962 
0.040000 	 5 	 0.951633 	 1.000000 	 0.975217 	 4.718500 	 4.718500 	 0.000000 
0.040000 	 6 	 0.632644 	 0.989022 	 0.771674 	 30.893454 	 30.313961 	 0.579492 
0.040000 	 7 	 0.683792 	 0.974128 	 0.803538 	 31.196817 	 29.502377 	 1.694441 
0.040000 	 8 	 0.587085 	 0.964783 	 0.729971 	 39.968369 	 37.996392 	 1.971977 
0.040000 	 9 	 0.615120 	 0.953903 	 0.747936 	 38.654930 	 35.883514 	 2.771416 
0.040000 	 10 	 0.855697 	 0.986564 	 0.916482 	 14.338928 	 13.267484 	 1.071444 
0.040000 	 11 	 0.634022 	 0.938942 	 0.756928 	 36.119390 	 32.462320 	 3.657070 
0.040000 	 12 	 0.859063 	 0.998048 	 0.923355 	 13.302051 	 13.145316 	 0.156735 
0.040000 	 13 	 0.908882 	 0.997981 	 0.951350 	 8.259304 	 8.095918 	 0.163386 
0.040000 	 14 	 0.853988 	 0.999110 	 0.920866 	 13.812969 	 13.741386 	 0.071583 
0.040000 	 15 	 0.821959 	 0.999843 	 0.902216 	 15.753469 	 15.742041 	 0.011429 
0.040000 	 16 	 0.963424 	 0.999763 	 0.981257 	 3.284898 	 3.264490 	 0.020408 
0.040000 	 17 	 0.502170 	 0.999433 	 0.668466 	 43.989901 	 43.964736 	 0.025164 
0.040000 	 18 	 0.913610 	 0.999857 	 0.954790 	 5.970920 	 5.961909 	 0.009011 
0.040000 	 19 	 0.902953 	 0.983520 	 0.941516 	 10.068449 	 8.710422 	 1.358027 
0.040000 	 20 	 0.699080 	 0.988131 	 0.818846 	 21.982600 	 21.385825 	 0.596775 
0.040000 	 21 	 0.588146 	 0.993713 	 0.738938 	 32.262603 	 31.973706 	 0.288896 
0.040000 	 22 	 0.534911 	 0.998900 	 0.696725 	 41.125352 	 41.073346 	 0.052006 
0.040000 	 23 	 0.579772 	 0.998046 	 0.733468 	 28.918842 	 28.840934 	 0.077908 
0.040000 	 24 	 0.761241 	 0.995168 	 0.862627 	 17.006734 	 16.747475 	 0.259259 
0.040000 	 25 	 0.989745 	 0.982317 	 0.986017 	 2.642112 	 0.965190 	 1.676922 
0.040000 	 26 	 0.840624 	 0.995768 	 0.911643 	 13.828766 	 13.525577 	 0.303189 
0.040000 	 27 	 0.897430 	 0.994080 	 0.943285 	 9.140774 	 8.688059 	 0.452715 
0.040000 	 28 	 0.522269 	 0.992985 	 0.684513 	 36.385256 	 36.106413 	 0.278843 
0.040000 	 29 	 0.825486 	 0.999020 	 0.904000 	 13.839567 	 13.775643 	 0.063924 
0.040000 	 30 	 0.602271 	 0.997219 	 0.750984 	 35.577206 	 35.427577 	 0.149629 
0.040000 	 31 	 0.740347 	 0.998523 	 0.850269 	 23.231424 	 23.133824 	 0.097600 
0.040000 	 32 	 0.808445 	 0.990733 	 0.890355 	 13.397074 	 12.888313 	 0.508760 
0.040000 	 33 	 0.436906 	 0.999258 	 0.607983 	 45.274159 	 45.248073 	 0.026086 
0.040000 	 34 	 0.501848 	 0.996000 	 0.667412 	 40.212089 	 40.050042 	 0.162047 
0.040000 	 35 	 0.936604 	 0.999979 	 0.967255 	 5.417390 	 5.415729 	 0.001661 
0.040000 	 36 	 0.968315 	 0.996908 	 0.982403 	 3.191635 	 2.915288 	 0.276347 
0.040000 	 37 	 0.871830 	 0.984627 	 0.924802 	 12.256662 	 11.079982 	 1.176680 
0.040000 	 38 	 0.679111 	 0.991504 	 0.806100 	 25.907184 	 25.445712 	 0.461473 
0.040000 	 39 	 0.584290 	 0.998854 	 0.737293 	 36.296416 	 36.237973 	 0.058443 
0.040000 	 40 	 0.922193 	 0.993650 	 0.956589 	 7.545435 	 7.014126 	 0.531309 
0.040000 	 41 	 0.953764 	 0.999735 	 0.976209 	 3.300408 	 3.282449 	 0.017959 
0.040000 	 42 	 0.942957 	 0.999231 	 0.970279 	 5.137153 	 5.072650 	 0.064504 
0.040000 	 43 	 0.790104 	 0.997458 	 0.881755 	 13.829887 	 13.698466 	 0.131421 
0.040000 	 44 	 0.815612 	 0.998039 	 0.897651 	 14.773399 	 14.646099 	 0.127300 
0.040000 	 45 	 0.947446 	 0.997944 	 0.972040 	 4.533170 	 4.370853 	 0.162317 
0.040000 	 46 	 0.993331 	 0.998903 	 0.996109 	 0.760816 	 0.653878 	 0.106939 
0.040000 	 47 	 0.989765 	 0.997668 	 0.993701 	 1.205501 	 0.983262 	 0.222239 
0.040000 	 48 	 0.975852 	 0.987431 	 0.981607 	 3.311837 	 2.186939 	 1.124898 
0.040000 	 49 	 0.979074 	 0.983302 	 0.981183 	 3.398610 	 1.893862 	 1.504747 
0.040000 	 50 	 0.921924 	 0.994753 	 0.956955 	 7.345816 	 6.915144 	 0.430672 
